question,reference_answer,model_answer,model_score
对于一例经活检确诊为鳞状细胞癌并分子检测发现NTRK1/2/3基因融合阳性的晚期或转移性非小细胞肺癌患者，在尚未获得其他驱动基因（如EGFR、ALK、ROS1等）突变结果时，是否可优先考虑NTRK靶向治疗？,若已确认NTRK1/2/3基因融合阳性，NTRK靶向治疗通常可作为首选，无需等待其他驱动基因（如EGFR、ALK、ROS1等）突变的检测结果，但前提是无其他已知可靶向的主要驱动基因突变存在。,"不建议在尚未获得其他常见驱动基因（如EGFR、ALK、ROS1等）突变结果前，优先考虑NTRK靶向治疗。理由如下：

1. **指南推荐**：根据NCCN、CSCO等权威指南，NTRK靶向药物（如larotrectinib、entrectinib）适用于经标准治疗失败或无标准治疗方案的NTRK融合阳性晚期NSCLC患者。对于初治患者，仍需首先排查常见可靶向的驱动基因（EGFR、ALK、ROS1、BRAF等）突变。

2. **治疗优先级**：EGFR、ALK、ROS1等驱动基因突变在NSCLC中更为常见，且有成熟的一线靶向治疗方案。若存在这些突变，应优先给予相应靶向药物。

3. **NTRK融合的稀有性**：NTRK融合在NSCLC中极为罕见，尤其在鳞癌中更为少见。若已明确存在NTRK融合，需排除其他常见驱动基因突变后再考虑NTRK靶向治疗。

4. **避免漏治**：若患者同时存在其他可靶向突变（如EGFR、ALK等），直接给予NTRK抑制剂可能导致最佳治疗时机的延误。

**结论**：  
在未获得EGFR、ALK、ROS1等常见驱动基因突变结果前，不应优先给予NTRK靶向治疗。应等待所有驱动基因检测结果，若仅有NTRK融合阳性且无其他可靶向突变，再考虑NTRK靶向药物作为一线治疗。",2.0
"在绝经后、肿瘤直径大于0.5 cm、HER2阴性、ER和/或PR阳性的浸润性乳腺癌患者中，若病理结果显示腋窝淋巴结为微转移（pN1mi, ≥2 mm），但未明确肿瘤是管状、混合、微乳头还是炎性类型，能否直接采用21基因RT-PCR检测结果决定辅助化疗的使用？",不能。21基因RT-PCR检测仅适用于特定病理类型（管状、NST、混合、微乳头等），若肿瘤为炎性类型，则此检测结果不能作为辅助化疗决策的依据，因此必须明确病理类型后才能依赖检测结果指导治疗。,"不能**直接**仅依赖21基因RT-PCR检测结果来决定辅助化疗的使用。

**理由如下：**

1. **指南推荐**  
   - 绝经后、HR阳性、HER2阴性、肿瘤>0.5 cm、腋窝淋巴结微转移（pN1mi, >0.2 mm且≤2 mm）患者，**21基因检测（Oncotype DX）可用于辅助化疗决策**，但主要证据（如TAILORx、RxPONDER研究）针对的是pN0或1-3枚**宏转移**（pN1, >2 mm）淋巴结阳性患者。
   - 对于**pN1mi（微转移）**患者，指南（如NCCN、CSCO）建议**综合考虑临床病理因素**（如肿瘤大小、分级、增殖指数、血管侵犯等），而不是单纯依赖21基因检测结果。

2. **证据局限**  
   - 目前关于21基因检测在pN1mi患者中的前瞻性数据有限，绝大多数研究未专门分析pN1mi亚组。
   - pN1mi患者的预后介于pN0和pN1之间，部分指南认为其生物学行为更接近pN0。

3. **临床实践**  
   - 对于pN1mi患者，**可考虑21基因检测作为决策参考**，但不能完全替代临床病理因素的综合评估。
   - 若21基因评分低，且无其他高危因素，可考虑不加化疗；若评分高或合并其他高危因素，建议化疗。

**结论：**  
在绝经后、HR阳性、HER2阴性、肿瘤>0.5 cm、pN1mi的乳腺癌患者中，**21基因检测结果可作为辅助化疗决策的重要参考，但不能单独作为决定是否化疗的唯一依据，需结合其他临床病理因素综合判断**。",3.0
"在确诊为非小细胞肺癌（NSCLC）IIIB期（T3, N2）并伴有上腔静脉综合征（SVC obstruction）的患者中，若尚未接受化放疗，针对症状控制，应优先选择同步放化疗联合SVC支架置入，还是单纯行SVC支架置入？",对于NSCLC IIIB期伴SVC综合征且未行化放疗的患者，应优先选择同步化疗和放疗联合SVC支架置入。此策略可同时控制局部肿瘤进展与SVC症状，实现最优的症状缓解与肿瘤控制。单纯SVC支架置入仅适用于不能耐受系统治疗或需紧急缓解严重症状的情形。,"在确诊为非小细胞肺癌（NSCLC）IIIB期（T3, N2）并伴有上腔静脉综合征（SVC obstruction）的患者中，若尚未接受化放疗，针对**急性症状控制**，应**优先选择单纯行SVC支架置入**。

**理由：**
- SVC综合征属于肿瘤急症，需迅速缓解症状（如面部、颈部水肿、呼吸困难等），以防止窒息等严重并发症。
- SVC支架置入可在数小时至1天内迅速改善血流，缓解症状。
- 同步放化疗起效较慢，通常需数天至数周才能缓解症状，不能满足急性期症状控制的需求。
- 支架置入后，患者症状缓解，可进一步评估并尽快启动同步放化疗等根治性治疗。

**结论：**
对于NSCLC合并SVC综合征的急性症状控制，**应优先单纯行SVC支架置入**，待症状缓解后再行同步放化疗。",3.0
在乳腺癌患者术前系统治疗后，若前哨淋巴结活检（SLN）仅发现微小转移（micrometastases），且既往影像及穿刺确认为腋窝淋巴结有限病变，是否仍需追加腋窝淋巴结清扫手术（ALND）？,对于术前系统治疗后前哨淋巴结活检仅检出微小转移，并且既往腋窝病变有限的患者，不需追加腋窝淋巴结清扫（ALND）；单纯前哨淋巴结活检已足够应对腋窝处理，除非有更大范围转移证据。,"在乳腺癌患者术前系统治疗（新辅助治疗，NAT）后，若前哨淋巴结活检（SLN）仅发现微小转移（micrometastases，最大径0.2-2mm），且既往影像及穿刺证实腋窝淋巴结为有限病变（如cN1），目前主流指南（如NCCN、ASCO、ESMO）及相关研究建议：

**仍推荐追加腋窝淋巴结清扫（ALND）。**

**理由：**
- 新辅助治疗后，SLN中发现微小转移提示腋窝可能仍有残留肿瘤负荷，微小转移的临床意义与新辅助治疗前不同，残留病灶风险较高。
- 目前尚无足够证据支持在新辅助治疗后、SLN仅为微小转移时安全省略ALND。
- 相关研究（如ACOSOG Z1071、SENTINA等）主要针对SLN阴性患者省略ALND，对于SLN阳性（包括微小转移）患者，ALND仍为标准处理。

**结论：**
新辅助治疗后，若SLN活检发现微小转移，且术前腋窝为有限病变，**仍需追加ALND**，除非有临床试验支持或特殊情况（如高龄、合并症等）下经多学科讨论决定个体化处理。",2.0
对于接受初治手术并辅以化疗的II期非小细胞肺癌患者，若术后病灶切缘呈R1（即肿瘤残留，切除不彻底），在后续治疗方案选择上，是优先考虑再次手术切除，还是以系统治疗或同步/序贯放化疗为首选？,对于II期非小细胞肺癌术后切缘R1的情形，标准做法并非优先再次手术，而应以系统治疗、同步或序贯化放疗作为首选策略，以最大程度清除残留微小病灶，减少复发风险。因此，再次手术不作为优先选项。,"对于II期非小细胞肺癌（NSCLC）患者，术后切缘为R1（显微镜下残留肿瘤），治疗决策需综合患者全身状况、残留病灶部位及可切除性等因素。标准处理建议如下：

1. **再次手术切除**：  
   - **优先考虑**：若患者全身状况良好，残留病灶局限且技术上可行，**再次手术切除以达到R0（无肿瘤残留）是首选**。R0切除与更佳的长期生存相关。
   - **不适合手术**：如患者不能耐受手术或残留病灶无法切除，则考虑其他治疗。

2. **放疗/同步或序贯放化疗**：  
   - **不可手术时首选**：对于不能再次手术的患者，**术后辅助放疗（PORT）**可针对残留部位，减少局部复发风险。若患者术后已接受化疗，可考虑**序贯放疗**；如未完成化疗，可根据具体情况选择**同步或序贯放化疗**。
   - 放疗剂量和范围需根据残留部位及患者耐受性个体化制定。

3. **系统治疗**：  
   - II期NSCLC术后本已推荐辅助化疗，R1切缘提示复发风险更高，**系统治疗（化疗±靶向/免疫治疗）应继续或完成**。

**结论**：  
对于II期NSCLC术后R1切缘患者，**若可耐受且技术可行，优先考虑再次手术切除**。如不可手术，则以**放疗或同步/序贯放化疗为首选**，并完成推荐的系统治疗。治疗方案需多学科团队（MDT）评估后个体化制定。

**参考指南**：NCCN NSCLC Guidelines（2024）、CSCO非小细胞肺癌指南。",3.0
"对于接受了根治性手术并达到R0切缘的IIIB期（T3, N2）非小细胞肺癌患者，若术后随访2年内均无临床或影像学复发，但存在持续的影像学残余异常影像（非肿瘤特异性），是否需要调整常规胸部CT检查的随访频率？",是。即使术后2年内无明确复发，若存在持续的影像学残余异常，则需增加胸部影像检查的频率，高于常规随访安排，以便及时排除早期复发或新发病变，避免延误诊断。,"对于接受了根治性手术并达到R0切缘的IIIB期（T3, N2）非小细胞肺癌患者，术后2年内无临床或影像学复发，但存在持续的影像学残余异常（且明确为非肿瘤特异性，如术后瘢痕、慢性炎症等），**一般不需要因为这些非特异性异常而调整常规胸部CT随访频率**。

**理由如下：**

1. **指南推荐**：根据NCCN、CSCO等指南，术后随访主要依据肿瘤分期和复发风险。对于IIIB期患者，术后前2年建议每3-6个月复查胸部CT，2-5年每6-12个月，5年后每年一次。若无复发证据，随访频率可逐步降低。
2. **非肿瘤特异性异常**：如影像学表现为稳定的术后瘢痕、慢性炎症、纤维化等，且无进展或新发可疑病灶，不提示肿瘤复发，不需增加随访频率。
3. **调整随访频率的指征**：仅在影像学发现新发或进展性可疑病灶，或患者出现相关临床症状时，才需提前或增加随访频率，或进一步检查。

**结论**：  
对于上述患者，若残余影像学异常已明确为非肿瘤特异性且稳定，无需因其调整常规胸部CT随访频率，继续按照指南推荐的随访计划即可。",1.0
对于一例侵袭性、非炎症性、未出现远处转移（M0）的早期乳腺癌患者，肿瘤类型为导管癌，ER 和 PR 均为阴性，但 HER2 呈阳性，肿瘤直径为 0.8 cm，腋窝淋巴结微转移（pN1mi），在是否给予辅助化疗联合曲妥珠单抗时，肿瘤小于 0.6 cm（如 0.5 cm）时，该治疗策略是否仍适用？,当 HER2 阳性、ER/PR 阴性、肿瘤直径为 0.6–1.0 cm 且存在 pN0 或 pN1mi 时，可考虑辅助化疗联合曲妥珠单抗。若肿瘤小于 0.6 cm（如 0.5 cm），则辅助化疗及抗 HER2 治疗的获益尚无充分证据，通常不予推荐。,"对于HER2阳性、ER/PR阴性（即三阴性除HER2外）、肿瘤直径0.8 cm、腋窝淋巴结微转移（pN1mi）的早期乳腺癌患者，辅助化疗联合曲妥珠单抗是推荐的标准治疗。

**当肿瘤直径小于0.6 cm（如0.5 cm）时，治疗策略如下：**

### 1. 主要参考指南
- **NCCN、ASCO、ESMO等国际指南**均建议：对于HER2阳性、肿瘤≤1 cm（T1a/b），无淋巴结转移（N0）时，辅助化疗+抗HER2治疗可考虑但非强制，尤其是T1a（≤0.5 cm）时，推荐个体化决策。
- **但如果存在淋巴结微转移（pN1mi）**，即使肿瘤很小（如0.5 cm），也被认为是高危因素，推荐给予辅助化疗联合曲妥珠单抗。

### 2. 证据依据
- **淋巴结微转移（pN1mi）**提示肿瘤已有区域性扩散，复发风险升高。
- **多项研究和指南**（如NCCN 2024、St. Gallen共识）均指出：只要有淋巴结转移（即使是微转移），即使肿瘤很小（T1a/b），也应考虑标准的辅助化疗+抗HER2治疗。

### 3. 具体建议
- **肿瘤0.5 cm，pN1mi，HER2阳性，ER/PR阴性**：推荐辅助化疗联合曲妥珠单抗（如紫杉醇+曲妥珠单抗方案）。
- **如患者合并严重合并症或对化疗耐受性差**，可个体化权衡利弊，但大多数情况下建议标准治疗。

### 4. 结论
**即使肿瘤小于0.6 cm（如0.5 cm），只要存在淋巴结微转移（pN1mi），辅助化疗联合曲",3.0
一位新诊断为周围型 T1a 期、N0 非小细胞肺癌（Stage IA）的患者，其肺功能检查未见异常，未发现远处转移灶。如手术前未行 FDG-PET/CT 扫描，是否可以直接进入手术治疗阶段？,在新诊断为周围型 T1a 期、N0 非小细胞肺癌且肺功能良好、无远处转移证据的情况下，FDG-PET/CT 扫描用于术前分期以排除隐匿病灶。如果未行 PET/CT，直接手术风险在于可能漏诊区域或远处转移，标准流程要求术前完成 PET/CT 检查，因此不应直接进入手术治疗。,"是的，对于新诊断为周围型 T1a 期、N0 期非小细胞肺癌（NSCLC），且肺功能良好、无远处转移证据的患者，如果术前未行 FDG-PET/CT 扫描，可以直接进入手术治疗阶段。理由如下：

1. **早期、周围型、T1a 期 NSCLC**：肿瘤体积小，局限于肺部，淋巴结转移和远处转移概率较低。
2. **N0 期**：影像学未见淋巴结肿大，临床分期为 N0。
3. **肺功能正常**：患者可耐受手术。
4. **PET/CT 的作用**：主要用于进一步排查隐匿性淋巴结转移和远处转移，但在早期、周围型、N0 期患者中，PET/CT 的阳性发现率较低。若常规影像（如增强 CT）未见异常，PET/CT 并非绝对必要。
5. **指南推荐**：中国和国际指南（如 NCCN、CSCO）均指出，对于早期、周围型、无高危因素的 NSCLC，若常规检查未见异常，可直接手术。

**结论**：在上述情况下，未行 FDG-PET/CT 并不影响直接进入手术治疗阶段，但术前应完善常规影像学检查，术中需行系统性淋巴结清扫或取样以明确分期。若有高危因素或影像学可疑，应补充 PET/CT 检查。",3.0
一位临床分期为cT1c、cN0、M0的乳腺癌患者，HR阴性且HER2阴性（即三阴性乳腺癌），是否仅凭这一分期和分子特征即可考虑术前全身治疗？,是的，分期为cT1c、cN0、M0且为三阴性乳腺癌的患者，即使腋窝无临床或影像学证据转移，也可考虑术前全身治疗，因为三阴性乳腺癌cT1c及以上即被纳入术前治疗的适应症范围。,"不建议仅凭cT1c、cN0、M0分期和三阴性分子特征就常规考虑术前全身治疗（新辅助治疗）。

**解析：**

- **分期分析**：cT1c（肿瘤>1cm且≤2cm）、cN0（无临床淋巴结转移）、M0（无远处转移），属于早期乳腺癌。
- **分子分型**：三阴性乳腺癌（HR阴性、HER2阴性）生物学行为较为侵袭，但早期、肿瘤较小（≤2cm）时，预后相对较好。
- **指南推荐**：
  - **中国CSCO、NCCN等指南**：对于cT1cN0M0三阴性乳腺癌，首选手术治疗。新辅助化疗主要推荐用于肿瘤较大（T2及以上）、有淋巴结转移或需争取保乳的患者。
  - 新辅助治疗的主要目的是降期、提高保乳率、评估药物敏感性。对于T1cN0患者，手术后辅助化疗即可，术前化疗获益有限。
- **特殊情况**：如患者强烈希望保乳但肿瘤位置不佳、或有其他特殊考虑，可个体化讨论是否新辅助治疗。

**结论**：  
仅凭cT1c、cN0、M0分期和三阴性特征，不推荐常规术前全身治疗，首选手术，术后根据病理分期和分子特征决定辅助治疗方案。",1.0
对于接受根治性治疗后已无临床或影像学残留病灶的晚期（stage IV）寡转移非小细胞肺癌患者，如果所有转移灶均已行根治性处理，在随访期间出现新的边界性胸部结节且无其他症状时，应优先选择加强频率的胸部影像随访，还是立即进行 FDG-PET/CT 检查以明确肿瘤复发可能性？,在无症状且新发局部结节影像表现不典型的情况下，应首先选择增加胸部影像随访频率（如缩短复查间隔），而不是立即进行 FDG-PET/CT。FDG-PET/CT 主要用于复发或远处转移明确疑虑时，随访新发非特异性改变不常作为第一选择。,"对于接受根治性治疗后已无临床或影像学残留病灶的晚期（stage IV）寡转移非小细胞肺癌（NSCLC）患者，在随访期间出现新的边界性胸部结节且无其他症状时，**应优先选择立即进行 FDG-PET/CT 检查以明确肿瘤复发可能性**，而不是仅仅加强影像随访频率。

**理由如下：**

1. **高危人群**：该患者为既往IV期NSCLC，肿瘤复发风险高。
2. **新发结节**：随访中出现新的结节，需尽快明确其性质（良性、炎症、复发或新发肿瘤）。
3. **PET/CT优势**：FDG-PET/CT对肿瘤复发的敏感性和特异性高，可评估全身病灶，指导后续治疗决策。
4. **指南推荐**：NCCN、CSCO等指南均建议，对于有肿瘤复发或进展可能的新发病灶，应积极行PET/CT等进一步检查，而不是单纯等待或仅增加随访频率。

**结论：**
对于此类患者，出现新的边界性结节时，**应优先选择FDG-PET/CT检查**，以明确是否为肿瘤复发或进展，及时指导后续治疗。仅加强影像随访频率可能延误诊断和治疗。",1.0
对于术前系统治疗后为 HR 阴性/HER2 阴性且存在 ypN≥1 的早期乳腺癌患者，如果既有术前使用过 pembrolizumab，也检测到胚系 BRCA1/2 突变，术后应优先选择继续使用 adjuvant pembrolizumab 还是 olaparib？,术前已用 pembrolizumab 且检出 BRCA1/2 突变的 HR 阴性/HER2 阴性早期乳腺癌患者，在 ypN≥1 情况下，adjuvant pembrolizumab 和 adjuvant olaparib 均适用，目前两者可联合或依患者具体状况选择，暂无明确优先顺序，需根据个体耐受性制定方案。,"对于术前系统治疗后为 HR 阴性/HER2 阴性且存在 ypN≥1 的早期乳腺癌患者，如果既有术前使用过 pembrolizumab，也检测到胚系 BRCA1/2 突变，术后优先选择如下：

**优先选择继续使用 adjuvant pembrolizumab。**

**理由：**
1. **KEYNOTE-522 研究**：对于三阴性乳腺癌（TNBC）患者，术前联合化疗和 pembrolizumab 后，术后无病理完全缓解（即 ypN≥1），推荐继续完成 pembrolizumab 的辅助治疗周期（总共1年），这是目前指南（如NCCN、CSCO）的一线推荐。
2. **OlympiA 研究**：对于胚系 BRCA1/2 突变且高危早期乳腺癌患者，olaparib 作为辅助治疗也有明确获益。但 OlympiA 研究中未包含已接受免疫治疗的患者，且目前缺乏 pembrolizumab 和 olaparib 联合或序贯使用的直接证据。
3. **指南建议**：目前主流指南（如NCCN、CSCO）建议，若患者已在新辅助阶段接受 pembrolizumab，术后应优先完成 pembrolizumab 的辅助治疗；如未用 pembrolizumab，则可考虑 olaparib。

**临床实践建议：**
- **优先完成 pembrolizumab 辅助治疗**（至1年）。
- 若患者对 pembrolizumab 不耐受或有禁忌，可考虑 olaparib。
- 两者联合或序贯使用的安全性和有效性尚无充分证据，不推荐常规联合。

**参考文献：**
- NCCN Breast Cancer Guidelines (2024)
- CSCO 乳腺癌诊疗指南（2023）
- KEYNOTE-522, OlympiA 研究结果

**总结：**  
在此情境下，优先选择继续使用 adjuvant pembrolizumab。",3.0
在肺外科切除后，若初治为 I–II 期非小细胞肺癌且仅接受手术，无放疗，进行常规随访时，是否需要每 3–6 个月进行胸部 CT 检查？,仅接受手术的 I–II 期非小细胞肺癌患者，其随访推荐为术后每 6 个月进行一次胸部 CT 于前 2–3 年，而无需每 3–6 个月一次胸部 CT。每 3–6 个月随访适用于初治含放疗、III 期或寡转移病灶均获根治的患者。,"是的，推荐在初治为 I–II 期非小细胞肺癌（NSCLC）且仅接受手术、无放疗的患者，术后常规随访时每 3–6 个月进行胸部 CT 检查。

**依据：**
- 国内外指南（如 NCCN、CSCO）均建议，术后前 2 年每 3–6 个月复查胸部 CT，2–5 年每 6–12 个月，5 年后每年一次。
- 这样做有助于早期发现复发或第二原发肿瘤，提高患者生存率。

**结论：**
需要每 3–6 个月进行胸部 CT 检查，尤其在术后前 2 年。",2.0
在进展期或转移性鳞状非小细胞肺癌中，若分子检测显示RET基因重排阳性，请问应优先考虑靶向RET抑制剂治疗，还是仍以标准化疗为首选？,对于进展期或转移性鳞状非小细胞肺癌患者，即使存在RET重排，当前临床证据有限，且指南建议仍以标准化疗为主，RET抑制剂优先于化疗的证据主要基于非鳞癌人群。因此，此类患者优先选择标准化疗，靶向RET抑制剂可在特定情况下酌情考虑。,"在进展期或转移性鳞状非小细胞肺癌（NSCLC）中，RET基因重排阳性较为罕见，但一旦确诊，**应优先考虑靶向RET抑制剂治疗**（如selpercatinib或pralsetinib），而不是标准化疗。

**理由：**
- 目前NCCN、CSCO等权威指南均推荐，对于RET重排阳性的晚期NSCLC患者（无论组织学类型），优先使用RET抑制剂。
- 临床研究显示RET抑制剂在RET重排阳性NSCLC中疗效显著，优于传统化疗。
- 虽然RET重排在鳞癌中极为罕见，若明确存在，治疗原则与腺癌类似。

**结论：**
如患者为进展期或转移性鳞状NSCLC，且分子检测RET重排阳性，应优先选择RET靶向治疗。标准化疗仅在无法获得或不耐受RET抑制剂时考虑。",2.0
对于确诊为局部晚期无远处转移的非小细胞肺癌患者，若基于胸部增强 CT、脑部增强 MRI 和 FDG-PET/CT 检查未发现远处转移，是否仍需常规开展 EGFR、ALK、ROS1、BRAF 等分子标志物检测？,是。即使在无远处转移的局部晚期非小细胞肺癌患者中，指南依然推荐对所有腺癌、大细胞癌或 NOS（未明确分型）亚型常规进行 EGFR、ALK、ROS1、BRAF 等分子标志物的检测，以指导后续全程管理和个体化系统治疗选择。,"对于局部晚期（III期）且无远处转移的非小细胞肺癌（NSCLC）患者，基于胸部增强CT、脑部增强MRI和FDG-PET/CT未发现远处转移，**目前指南（如NCCN、CSCO）并不推荐常规开展EGFR、ALK、ROS1、BRAF等驱动基因分子标志物检测**，原因如下：

1. **治疗决策依据**：局部晚期NSCLC的标准治疗以同步放化疗为主，随后可根据PD-L1表达情况考虑巩固性免疫治疗（如durvalumab）。驱动基因检测结果对局部晚期NSCLC的标准治疗决策影响有限。
2. **分子靶向药物适应证**：EGFR、ALK、ROS1、BRAF等靶向药物主要用于晚期（IV期）或复发/转移性NSCLC患者。
3. **指南推荐**：NCCN、CSCO等指南均建议局部晚期NSCLC患者**优先检测PD-L1表达**，以指导免疫治疗。分子标志物检测可在疾病进展为晚期或复发时再行检测。

**例外情况**：如患者存在特殊临床试验入组需求，或有明确的治疗策略调整依据时，可考虑提前检测。

**结论**：  
对于局部晚期无远处转移的NSCLC患者，常规不需开展EGFR、ALK、ROS1、BRAF等分子标志物检测，建议优先检测PD-L1表达。",1.0
"对于经完整切除、病理分期为 IIB 期（T1abc–T2a, N1 或 T3, N0 或 T2b, N1）且所有转移灶均已接受根治性治疗的非小细胞肺癌患者，是否可按I–II期患者的影像随访方案进行监测，还是应采用III期及以上患者的严格随访方案？",若所有病灶已根治性切除，且病理分期仅为 I–II 期，无额外高危报告，随访可采用I–II期患者方案：术后2–3年内每6个月复查体检及胸部CT，之后每年复查一次，无需采用III期及以上患者的更高频率随访。,"对于经完整切除、病理分期为 IIB 期（T1abc–T2a, N1 或 T3, N0 或 T2b, N1）且所有转移灶均已接受根治性治疗的非小细胞肺癌（NSCLC）患者，随访方案的选择应以患者的最高分期为依据。

**解答要点：**

1. **分期原则**：IIB期属于早中期（I–II期），但如果患者曾有转移灶（即存在远处转移，哪怕已根治性治疗），则其最高分期应为IV期。此时，患者的复发风险和随访需求更接近于晚期（III期及以上）患者。

2. **随访方案选择**：
   - **若仅为IIB期（无远处转移）**：可按I–II期患者的影像随访方案进行监测。通常为术后2年内每3–6个月复查胸部CT，2年后每6–12个月，5年后每年一次。
   - **若有远处转移灶（即使已根治性治疗）**：应按III期及以上患者的更严格随访方案进行。通常建议术后2年内每3个月复查，2–3年每6个月，3–5年每6–12个月，必要时增加脑部、骨等部位影像学检查。

3. **指南依据**：
   - 《中国临床肿瘤学会（CSCO）非小细胞肺癌诊疗指南》及NCCN指南均建议，分期以最高分期为准，随访方案应根据复发风险调整。
   - 有远处转移史的患者，复发风险高于单纯I–II期，应采用更密切的随访。

**结论：**
对于经完整切除、病理分期为IIB期且所有转移灶均已根治性治疗的NSCLC患者，**应采用III期及以上患者的严格随访方案**，而非I–II期的常规随访方案。",3.0
在术前系统治疗后，HR阳性/HER2阴性、存在残留病灶且为gBRCA1/2突变、CPS+EG评分≥3的患者，如果无法耐受olaparib，是否仍推荐使用阿贝西利作为辅助治疗？,对于HR阳性/HER2阴性、gBRCA突变且CPS+EG≥3、有残留病灶的患者，olaparib作为辅助治疗优先于阿贝西利。若因不耐受olaparib而停用，目前不建议以阿贝西利作为直接替代，因为阿贝西利适用标准不同且无直接证据表明其可在olaparib不耐受时作为替补。,"对于HR阳性/HER2阴性、存在残留病灶且为gBRCA1/2突变、CPS+EG评分≥3的乳腺癌患者，术后辅助治疗的选择需结合最新循证医学证据和指南推荐：

1. **Olaparib**：根据OlympiA研究，gBRCA突变且新辅助/辅助治疗后存在高复发风险（如CPS+EG≥3）的患者，推荐术后辅助olaparib 1年。

2. **Abemaciclib**：monarchE研究显示，HR阳性/HER2阴性、存在高危因素（如≥4个淋巴结阳性，或1-3个淋巴结阳性且肿瘤大/高分级/高Ki-67）的患者，辅助abemaciclib联合内分泌治疗可获益。gBRCA突变患者在研究中未被排除。

3. **指南建议**：
   - **NCCN、CSCO等指南**：对于gBRCA突变且高危患者，优先推荐olaparib辅助治疗。
   - 若**olaparib因不耐受无法使用**，可考虑abemaciclib联合内分泌治疗，尤其是符合monarchE纳入标准的患者（如淋巴结阳性、肿瘤大、Ki-67高等）。

4. **两者联合**：目前无充分证据支持olaparib与abemaciclib联合使用。

**结论**：  
如果患者因不耐受无法使用olaparib，且符合abemaciclib的适应证（如淋巴结阳性、肿瘤大、Ki-67高），则**可以考虑使用abemaciclib联合内分泌治疗作为辅助治疗**。但需与患者充分沟通，说明证据基础及潜在获益。

**参考文献**：
- NCCN Guidelines Breast Cancer (2024)
- CSCO乳腺癌诊疗指南（2023）
- OlympiA, monarchE研究",3.0
在同侧非原发肺叶（ipsilateral non-primary lobe）发现孤立性肺结节，且分期为T4N0-1，经过术前系统治疗后计划行外科手术，此种情况下若术中切缘（margin）阳性（R1），是否仍建议首选序贯或同步放化疗，而非再次手术切除？,对于已接受术前系统治疗且T4N0-1病变行手术后出现切缘阳性（R1）的患者，优先选择序贯或同步放化疗作为后续治疗，而非常规再次手术切除。这是基于切缘阳性提示肿瘤残留，局部放化疗能有效控制局部复发风险，而再次手术风险高且获益有限。,"在这种情况下，处理策略需结合肿瘤学原则和指南推荐：

**背景分析：**
- 患者为同侧非原发肺叶孤立性结节，T4N0-1，术前已接受系统治疗，计划手术。
- 术中切缘阳性（R1），提示有残留肿瘤。

**指南与证据：**
- **NCCN、CSCO等指南**：对于可切除NSCLC，若术后切缘阳性（R1），首选方案是**再次手术切除**（如可行），以获得R0切除（无肿瘤残留），因为R0切除与更好的预后相关。
- 若**再次手术不可行**（如解剖或功能受限），则推荐**术后同步或序贯放化疗**，以降低局部复发风险。

**具体到本例：**
- T4N0-1，孤立性结节，经过系统治疗后手术，说明患者全身状况尚可，且肿瘤负荷有限。
- 若**再次手术能够实现R0切除且患者能耐受**，应**优先考虑再次手术**。
- 若**再次手术不可行或风险过大**，则**首选同步或序贯放化疗**。

**结论：**
**不应直接首选放化疗**。对于R1切缘，**首选再次手术切除**（如可行）；仅在无法再次手术时，才选择同步或序贯放化疗。

**参考文献：**
- NCCN Guidelines: Non-Small Cell Lung Cancer (2024)
- CSCO非小细胞肺癌诊疗指南（2023）

**简要总结：**
R1切缘时，首选再次手术切除（如可行）；仅在不能再次手术时，才首选同步或序贯放化疗。",3.0
对于接受根治性放疗治疗后的 IIIB 期非小细胞肺癌患者，若患者术后存在残留放射性影像学异常但无临床或影像学复发证据，是否需要增加常规随访影像学检查频率？,是。对于接受放疗的 IIIB 期非小细胞肺癌患者，若存在残留或新发影像学异常，即使未见临床或影像学复发证据，指南推荐应增加随访影像学检查频率，以便及早发现潜在复发或进展。,"对于接受根治性放疗后的 IIIB 期非小细胞肺癌（NSCLC）患者，如果术后存在残留放射性影像学异常（如瘢痕、纤维化或局部密度增高），但没有明确的临床或影像学复发证据，目前主流指南（如NCCN、ESMO、CSCO）均不建议仅因残留影像学异常而增加常规随访影像学检查的频率。

**要点如下：**

1. **常规随访频率**：  
   - 通常建议在治疗后前2年内每3-6个月复查胸部CT，2年后每6-12个月，5年后每年一次。
   - 影像学随访的主要目的是早期发现复发或新发肿瘤。

2. **残留影像学异常的处理**：  
   - 放疗后常见局部纤维化、瘢痕或密度改变，属于放射性改变，不等同于肿瘤复发。
   - 只要没有新发症状、肿块进行性增大或PET-CT提示代谢活跃等复发证据，无需增加随访频率。
   - 若影像学异常有进展或伴随临床症状，应及时进一步评估（如增强CT、PET-CT或活检）。

3. **指南依据**：  
   - NCCN NSCLC v2024：未建议因放射性改变而增加随访频率。
   - ESMO、CSCO指南类似。

**结论**：  
对于无复发证据的放疗后残留影像学异常患者，维持标准随访频率即可，无需常规增加影像学检查频率。若有可疑进展或新症状，则需个体化加密随访或进一步检查。",1.0
